"","mean.diff","mean.1","mean.2","t","df","p.val","p.val.adj","description","cell.up","ligand.up","receptor.in.path","ligand.in.path"
"Reproduction",0.212069266793394,0.173307247938128,-0.0387620188552658,43.5814815498851,390.881163233456,3.80346148919409e-152,6.34984672348505e-151,"Reproduction","6;10;15;6;6;8;10;11;15","Hspa1b;Hspa1b;Hspa1b;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Gata6;Gata6;Gata6;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Hspa1b;Prdx4"
"Negative.regulation.of.transcription.by.RNA.polymerase.II",0.114977818380841,-0.0349276592258157,-0.149905477606657,18.4643478597653,402.187339868834,1.41168248273979e-55,2.38508961492057e-55,"Negative regulation of transcription by RNA polymerase II","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6","Dact1"
"Cell.morphogenesis",0.181498762640606,0.0715291516584382,-0.109969610982168,31.1541392747841,394.463660679826,2.19670369525863e-108,9.01563808262397e-108,"Cell morphogenesis","2;3;4;6;6;11;6","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Sult5a1","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Nrn1","Itga8;Rhob;Dact1"
"Cell.morphogenesis.involved.in.differentiation",0.204543295057476,0.103024147540824,-0.101519147516653,30.2979055118802,386.720748907108,3.70431824954123e-104,1.39265399839622e-103,"Cell morphogenesis involved in differentiation","2;3;4;6;6;11;6","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Sult5a1","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Nrn1","Itga8;Dact1"
"Regulation.of.neurotransmitter.levels",-0.027010989472588,0.263658847489588,0.290669836962176,-3.22984706318229,408.057760075972,0.00133882926696722,0.00142259636241932,"Regulation of neurotransmitter levels","6;6;6;8;10;11;15","Sult5a1;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Nrn1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Action.potential",-0.0978712276019649,0.110418916878771,0.208290144480736,-12.2713225614314,378.882585777089,2.23950034643718e-29,2.99715739298997e-29,"Action potential","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Angiogenesis",0.146113886644023,-0.00142855624109012,-0.147542442885113,29.3910369136924,472.519458101504,9.70875401009685e-109,4.01811878148966e-108,"Angiogenesis","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6","Rhob"
"Blood.vessel.development",0.227280764431263,0.069899040369461,-0.157381724061802,42.2339667002,438.464931192403,1.2698314172586e-156,2.90879987441796e-155,"Blood vessel development","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6","Rhob"
"Urogenital.system.development",0.232055915724472,0.14664875619567,-0.0854071595288018,36.7163156927975,370.180569163624,1.88061276893872e-125,1.09609679136369e-124,"Urogenital system development","2;3;4;6;6;11","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Itga8"
"Metanephros.development",0.289107298835085,0.246344482586702,-0.0427628162483832,35.8969962197606,382.701865053545,1.46171138906802e-124,8.41979952182454e-124,"Metanephros development","2;3;4;6;6;11","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Itga8"
"Temperature.homeostasis",-0.129158617592335,-0.303032889816447,-0.173874272224112,-22.3709025755557,457.486655010175,1.96698701118423e-75,4.55878166121521e-75,"Temperature homeostasis","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Fever.generation",-0.313438883790716,-0.513767560169145,-0.200328676378429,-26.3969524320488,475.834942777911,3.0314621724404e-95,9.60125479052666e-95,"Fever generation","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Response.to.hypoxia",0.181596030482684,0.0598171417212276,-0.121778888761456,29.2372111982033,390.502781568872,2.22606102171971e-100,7.80309646403529e-100,"Response to hypoxia","6;10;15;10;15","Hspa1b;Hspa1b;Hspa1b;Sema6a;Sema6a","Gata6;Gata6;Gata6;Kcnk3;Kcnk3","Kcnk2"
"Cellular.glucose.homeostasis",0.347804148070426,0.149705630905421,-0.198098517165005,32.3553955262054,413.318056671479,2.45710124083937e-115,1.15801182881664e-114,"Cellular glucose homeostasis","6","Dkk3","Lgals1",NA
"In.utero.embryonic.development",0.129666770442388,0.0917648926455611,-0.037901877796827,19.8880131066212,380.20656919585,7.63008848916679e-61,1.38915244899024e-60,"In utero embryonic development","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Formation.of.primary.germ.layer",0.203652687603103,0.107718955443904,-0.0959337321591995,24.9432092661687,385.506632496687,1.902300831518e-82,4.94397445658372e-82,"Formation of primary germ layer","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Endoderm.formation",0.229181612707657,0.0535926233173086,-0.175588989390349,22.0868221800756,407.533623085103,1.18296111722156e-71,2.57791305412221e-71,"Endoderm formation","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
